Clave_mun,longitud,latitud,altitud,totreg,ingtoper,Censo_y_edu,Censo_y_salud,Censo_y_ss,Censo_y_cv,Censo_y_sbv,Censo_y_ali,Censo_y_ing,Censo_y_esco,Enigh_y_edu,Enigh_y_salud,Enigh_y_ss,Enigh_y_cv,Enigh_y_sbv,Enigh_y_ali2,Enigh_y_ing,Nb_mun,Population,Gini_coef
150,974845,212018,160,11567,4238354,0.3433,0.901,0.8989,0.6667,0.7678,0.2776,0.3664,3.9849,0.259154,0.3955338,0.8082304,0.4385394,0.5507147,0.2500222,1.21359,Tamalín,12461,0.4652826
151,972644,211641,10,26276,9002524,0.356,0.8894,0.8828,0.6093,0.9384,0.1569,0.3426,4.069,0.2965981,0.5142787,0.8285017,0.3077138,0.9259214,0.2517567,1.18543,Tamiahua,25626,0.4646749
152,974812,220638,20,12640,8058508,0.3665,0.8187,0.8123,0.4939,0.9294,0.1244,0.6375,4.3981,0.2903628,0.3101494,0.7245781,0.2544193,0.6213241,0.2754987,1.76143,Tampico Alto,15381,0.4392508
153,974725,211701,220,6233,2234199,0.3284,0.9061,0.8959,0.7781,0.7759,0.3661,0.3584,3.7571,0.2845823,0.5782916,0.8533746,0.4677205,0.7074771,0.2462688,1.18766,Tancoco,5885,0.4133795
154,974959,211949,200,13429,3876672,0.372,0.9578,0.9516,0.7461,0.9176,0.2551,0.2887,3.5958,0.3316826,0.4216793,0.8821692,0.4608649,0.6964432,0.2219557,0.90187,Tantima,14061,0.3574932
155,981334,212042,150,94285,53700000,0.3011,0.8262,0.8218,0.7835,0.8303,0.4161,0.5695,4.1445,0.2555126,0.3321222,0.8926761,0.6086507,0.805288,0.39408,1.27337,Tantoyuca,102429,0.4897023
156,970641,194137,2060,4876,1071384,0.4399,0.9526,0.9498,0.652,0.9295,0.2994,0.2197,2.346,0.4200613,0.3023592,0.9526409,0.3671006,0.6193884,0.2727013,0.69886,Tatatila,5749,0.4042432
157,973755,204454,80,19543,6158648,0.3162,0.9174,0.9216,0.6937,0.895,0.2473,0.3151,3.8943,0.2629583,0.3373568,0.8195927,0.4109761,0.7179744,0.2658477,1.1306,Castillo de Teayo,20413,0.4293509
158,970036,202847,10,25670,15700000,0.2782,0.8418,0.8341,0.3184,0.7491,0.0914,0.6116,4.5448,0.2914792,0.3829616,0.90708,0.2745425,0.8234583,0.311335,1.20127,Tecolutla,25535,0.4277918
159,970319,183103,2260,17614,4474919,0.2243,0.9643,0.9856,0.9517,0.9838,0.9483,0.2541,0.8384,0.4637768,0.9264352,0.9780705,0.6792249,0.9960428,0.3725933,0.52359,Tehuipango,19813,0.4026029
160,974030,205500,40,102810,52900000,0.2917,0.8158,0.8009,0.6041,0.8456,0.1779,0.5145,4.4325,0.2481313,0.4116917,0.8900081,0.4200121,0.871822,0.3248317,1.24737,Álamo Temapache,113320,0.4296052
161,982341,213114,50,36337,18500000,0.3425,0.8283,0.8085,0.6743,0.7367,0.3029,0.5091,3.8907,0.3117276,0.3443223,0.7643825,0.3500964,0.5236697,0.3417952,1.44995,Tempoal,36536,0.5063525
162,965300,191505,1000,5899,1823205,0.4182,0.9814,0.9807,0.6304,0.8902,0.1973,0.3091,3.1441,0.3619968,0.3064399,0.9563796,0.105095,0.598511,0.2862878,0.97356,Tenampa,7518,0.3570242
163,965459,194831,900,5591,1163529,0.4012,0.9835,0.9785,0.6235,0.5031,0.3811,0.2081,3.3507,0.3710747,0.3856944,0.9454001,0.2469286,0.4051216,0.2445026,0.76141,Tenochtitlán,4887,0.401113
164,965818,192307,1160,14837,10100000,0.2901,0.7435,0.7361,0.3486,0.2976,0.0871,0.6807,4.9946,0.2985445,0.2712799,0.8432407,0.1873593,0.1046351,0.2272089,1.81204,Teocelo,17018,0.4278451
165,965039,190401,800,7836,1838915,0.459,0.9756,0.974,0.7228,0.9543,0.2385,0.2347,2.8812,0.4424929,0.1385799,0.9660081,0.3854287,0.9277779,0.3124927,0.69665,Tepatlaxco,8856,0.4089096
166,964748,194022,1180,8444,3597616,0.4906,0.788,0.78,0.3553,0.3092,0.0977,0.4261,2.4788,0.4960629,0.3343482,0.9151205,0.0997352,0.472423,0.2023059,0.87454,Tepetlán,10122,0.3915545
